id,correctAnswer
102501,C
102502,D
102503,B
102504,C
102505,D
102506,A
102507,C
102508,B
102509,A
102510,C
102511,A
102512,C
102513,D
102514,D
102515,C
102516,A
102517,A
102518,A
102519,B
102520,C
102521,A
102522,B
102523,A
102524,B
102525,A
102526,D
102527,C
102528,D
102529,B
102530,B
102531,B
102532,C
102533,D
102534,B
102535,B
102536,D
102537,B
102538,A
102539,D
102540,A
102541,C
102542,A
102543,B
102544,C
102545,A
102546,B
102547,B
102548,A
102549,D
102550,B
102551,A
102552,A
102553,C
102554,D
102555,C
102556,A
102557,B
102558,D
102559,B
102560,A
102561,C
102562,D
102563,B
102564,B
102565,A
102566,B
102567,C
102568,B
102569,D
102570,C
102571,C
102572,D
102573,D
102574,B
102575,D
102576,C
102577,A
102578,C
102579,D
102580,B
102581,D
102582,B
102583,A
102584,B
102585,A
102586,B
102587,C
102588,C
102589,D
102590,D
102591,A
102592,D
102593,B
102594,B
102595,D
102596,A
102597,D
102598,C
102599,A
102600,D
102601,C
102602,C
102603,B
102604,A
102605,D
102606,D
102607,B
102608,B
102609,C
102610,C
102611,D
102612,D
102613,C
102614,C
102615,D
102616,A
102617,A
102618,D
102619,D
102620,A
102621,B
102622,D
102623,B
102624,C
102625,B
102626,C
102627,B
102628,A
102629,C
102630,D
102631,A
102632,A
102633,A
102634,B
102635,D
102636,B
102637,B
102638,C
102639,A
102640,B
102641,D
102642,A
102643,B
102644,A
102645,B
102646,A
102647,C
102648,B
102649,B
102650,C
102651,D
102652,C
102653,A
102654,A
102655,D
102656,B
102657,B
102658,A
102659,C
102660,A
102661,D
102662,B
102663,C
102664,B
102665,D
102666,C
102667,B
102668,A
102669,C
102670,C
102671,C
102672,B
102673,D
102674,A
102675,C
102676,B
102677,C
102678,A
102679,A
102680,D
102681,D
102682,C
102683,B
102684,B
102685,A
102686,A
102687,A
102688,C
102689,D
102690,D
102691,B
102692,B
102693,B
102694,A
102695,D
102696,A
102697,B
102698,D
102699,D
102700,A
102701,B
102702,C
102703,C
102704,B
102705,C
102706,C
102707,D
102708,D
102709,B
102710,D
102711,B
102712,D
102713,A
102714,D
102715,C
102716,A
102717,C
102718,B
102719,A
102720,B
102721,C
102722,A
102723,C
102724,A
102725,B
102726,B
102727,A
102728,A
102729,C
102730,D
102731,D
102732,B
102733,B
102734,D
102735,A
102736,D
102737,C
102738,A
102739,D
102740,A
102741,C
102742,B
102743,B
102744,D
102745,C
102746,B
102747,A
102748,B
102749,B
102750,D
102751,C
102752,D
102753,C
102754,C
102755,D
102756,A
102757,B
102758,D
102759,A
102760,A
102761,B
102762,A
102763,A
102764,B
102765,B
102766,B
102767,C
102768,D
102769,D
102770,D
102771,C
102772,B
102773,B
102774,B
102775,C
102776,A
102777,D
102778,C
102779,A
102780,B
102781,B
102782,D
102783,B
102784,C
102785,A
102786,A
102787,B
102788,C
102789,C
102790,B
102791,C
102792,C
102793,B
102794,A
102795,C
102796,C
102797,B
102798,A
102799,D
102800,D
102801,D
102802,C
102803,D
102804,D
102805,D
102806,A
102807,B
102808,B
102809,C
102810,C
102811,C
102812,B
102813,C
102814,A
102815,C
102816,B
102817,D
102818,C
102819,D
102820,A
102821,B
102822,D
102823,A
102824,B
102825,B
102826,C
102827,B
102828,B
102829,D
102830,C
102831,B
102832,A
102833,D
102834,D
102835,A
102836,B
102837,C
102838,A
102839,D
102840,B
102841,B
102842,A
102843,B
102844,C
102845,D
102846,A
102847,D
102848,A
102849,C
102850,B
102851,B
102852,A
102853,B
102854,C
102855,A
102856,B
102857,A
102858,C
102859,D
102860,B
102861,A
102862,C
102863,A
102864,A
102865,D
102866,D
102867,C
102868,B
102869,D
102870,B
102871,D
102872,A
102873,D
102874,B
102875,D
102876,A
102877,B
102878,C
102879,D
102880,B
102881,B
102882,D
102883,B
102884,C
102885,A
102886,D
102887,B
102888,A
102889,A
102890,D
102891,D
102892,B
102893,D
102894,D
102895,C
102896,B
102897,A
102898,C
102899,D
102900,A
102901,B
102902,B
102903,B
102904,A
102905,D
102906,D
