id,correctAnswer
102501,A
102502,A
102503,B
102504,C
102505,A
102506,C
102507,B
102508,B
102509,B
102510,C
102511,C
102512,D
102513,C
102514,D
102515,D
102516,D
102517,A
102518,A
102519,B
102520,B
102521,A
102522,B
102523,A
102524,B
102525,C
102526,B
102527,B
102528,D
102529,D
102530,C
102531,D
102532,D
102533,C
102534,C
102535,B
102536,C
102537,B
102538,A
102539,B
102540,B
102541,B
102542,A
102543,A
102544,B
102545,C
102546,C
102547,A
102548,C
102549,C
102550,B
102551,B
102552,B
102553,C
102554,A
102555,C
102556,A
102557,C
102558,D
102559,D
102560,A
102561,A
102562,D
102563,B
102564,A
102565,C
102566,B
102567,B
102568,D
102569,D
102570,D
102571,C
102572,D
102573,D
102574,B
102575,D
102576,C
102577,A
102578,A
102579,D
102580,D
102581,B
102582,B
102583,C
102584,C
102585,C
102586,A
102587,C
102588,B
102589,B
102590,D
102591,D
102592,D
102593,C
102594,A
102595,B
102596,B
102597,A
102598,C
102599,A
102600,D
102601,B
102602,C
102603,D
102604,C
102605,B
102606,C
102607,B
102608,C
102609,A
102610,B
102611,B
102612,C
102613,C
102614,C
102615,B
102616,D
102617,B
102618,D
102619,D
102620,B
102621,B
102622,A
102623,B
102624,B
102625,B
102626,C
102627,B
102628,C
102629,D
102630,A
102631,B
102632,B
102633,A
102634,A
102635,C
102636,C
102637,B
102638,C
102639,B
102640,B
102641,B
102642,A
102643,C
102644,B
102645,A
102646,D
102647,D
102648,B
102649,A
102650,B
102651,D
102652,C
102653,C
102654,D
102655,C
102656,B
102657,B
102658,C
102659,C
102660,C
102661,B
102662,B
102663,D
102664,C
102665,B
102666,C
102667,B
102668,B
102669,D
102670,B
102671,C
102672,C
102673,B
102674,A
102675,C
102676,B
102677,B
102678,D
102679,A
102680,D
102681,B
102682,B
102683,B
102684,C
102685,C
102686,B
102687,A
102688,C
102689,D
102690,D
102691,D
102692,B
102693,B
102694,A
102695,B
102696,A
102697,A
102698,A
102699,A
102700,A
102701,B
102702,A
102703,A
102704,C
